airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,3858
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,4441
Air India,2019-03-27,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,2575
Air India,2019-05-24,Kolkata,Banglore,09:25:00,10:30:00,1505,2.0,No info,12797
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,10953
Spicejet,2019-03-03,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No info,6860
Spicejet,2019-05-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No info,9187
Air Asia,2019-04-09,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No info,6451
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No info,9646
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No info,4482
Air India,2019-06-09,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No info,7662
Indigo,2019-03-09,Banglore,New Delhi,13:10:00,16:10:00,180,0.0,No info,8033
Air India,2019-05-21,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,7480
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,No info,17261
Indigo,2019-03-09,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No info,7303
Indigo,2019-05-18,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4392
Indigo,2019-05-27,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,6206
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7408
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,19:45:00,2300,2.0,In-flight meal not included,16389
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-04-09,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No info,9483
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,7229
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No info,14388
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No info,6451
Multiple Carriers,2019-06-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No info,13587
Vistara,2019-03-18,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,11598
Multiple Carriers,2019-06-01,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No info,12042
Jet Airways,2019-03-24,Banglore,New Delhi,02:00:00,04:45:00,165,0.0,No info,7229
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No info,9187
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-06,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No info,7408
Jet Airways,2019-05-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Indigo,2019-03-27,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No info,7048
Indigo,2019-06-27,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No info,5684
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,15:30:00,505,1.0,No info,12537
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No info,13292
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,7229
Vistara,2019-06-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4668
Air India,2019-05-09,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No info,8366
Indigo,2019-03-15,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No info,8033
Indigo,2019-06-09,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6195
Air India,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,8372
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10539
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No info,15342
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,14781
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Indigo,2019-05-18,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No info,5279
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Indigo,2019-03-03,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No info,8855
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6224
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,In-flight meal not included,8456
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No info,13067
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No info,10953
Multiple Carriers,2019-06-15,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No info,7005
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No info,14781
Spicejet,2019-05-01,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,4991
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No info,9042
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,04:45:00,1335,1.0,In-flight meal not included,10031
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Jet Airways,2019-04-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,7229
Indigo,2019-05-01,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No info,6111
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,7064
Jet Airways,2019-03-09,Mumbai,Hyderabad,06:30:00,08:00:00,90,0.0,In-flight meal not included,4995
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No info,11411
Indigo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No info,6314
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No info,17057
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,15:05:00,1325,1.0,No info,13067
Air India,2019-06-06,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No info,13033
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No info,12692
Spicejet,2019-03-15,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Jet Airways,2019-04-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No info,21954
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,21:00:00,640,1.0,In-flight meal not included,6007
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,5022
Air India,2019-06-15,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Air India,2019-06-01,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No info,10703
Jet Airways,2019-06-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No info,12649
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12898
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4667
Indigo,2019-04-15,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No info,14714
Air India,2019-06-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Multiple Carriers,2019-03-27,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No info,10667
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Indigo,2019-06-06,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No info,4804
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-06-21,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Air India,2019-05-27,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,10441
Spicejet,2019-06-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,5583
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Air India,2019-03-01,Banglore,New Delhi,09:30:00,23:45:00,855,1.0,No info,12704
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2228
Multiple Carriers,2019-03-21,Delhi,Cochin,14:00:00,01:35:00,695,1.0,No info,13542
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,In-flight meal not included,15136
Go Air,2019-04-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,10844
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No info,9870
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No info,14151
Air India,2019-06-09,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,12392
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Indigo,2019-06-09,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No info,6442
Indigo,2019-05-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No info,6600
Air India,2019-03-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,7931
Jet Airways,2019-04-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,7229
Indigo,2019-06-09,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,11465
Indigo,2019-03-27,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No info,6316
Air India,2019-04-01,Kolkata,Banglore,16:45:00,23:15:00,1830,2.0,No info,9237
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1.0,No info,17024
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9794
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Vistara,2019-05-06,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4668
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,7155
Indigo,2019-04-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,4990
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No info,13067
Air Asia,2019-03-15,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,5615
Jet Airways,2019-05-01,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No info,15129
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,5883
Spicejet,2019-06-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,4804
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,7438
Air India,2019-06-06,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No info,7662
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No info,2753
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No info,9794
Go Air,2019-05-09,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,6591
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,9314
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-06-27,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Indigo,2019-06-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3943
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No info,10953
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No info,14571
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,4483
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,15129
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,4377
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,7618
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-03-21,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,In-flight meal not included,7280
Air India,2019-05-01,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,10151
Indigo,2019-06-03,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Air India,2019-05-21,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No info,9968
Indigo,2019-06-27,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,6442
Indigo,2019-03-06,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No info,7894
Indigo,2019-03-09,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No info,12351
Air India,2019-03-27,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,5022
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No info,13941
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,7229
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No info,13727
Indigo,2019-04-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Air India,2019-04-01,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,6245
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,14848
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,14848
Indigo,2019-03-09,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No info,4148
Indigo,2019-05-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Vistara,2019-06-09,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,4878
Air India,2019-04-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,2050
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No info,11467
Go Air,2019-04-15,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3898
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11458
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8891
Indigo,2019-06-03,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No info,6838
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1260,1.0,No info,15764
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,No info,14388
Air India,2019-06-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,7952
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No info,15554
Air India,2019-06-06,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,8669
Indigo,2019-05-27,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,6442
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No info,15129
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:00:00,16:50:00,1610,1.0,No info,19595
Jet Airways,2019-04-15,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-03,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No info,7878
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,9663
Air India,2019-06-06,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No info,10703
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,7229
Multiple Carriers,2019-06-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,8266
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No info,12284
Indigo,2019-04-24,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3625
Jet Airways,2019-04-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Spicejet,2019-03-15,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Vistara,2019-05-15,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,4668
Go Air,2019-04-12,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,6722
Air India,2019-06-24,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,9194
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,15339
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,01:35:00,935,1.0,No info,8098
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,In-flight meal not included,7791
Air India,2019-03-06,Mumbai,Hyderabad,11:35:00,19:25:00,1910,2.0,No info,17926
Indigo,2019-06-03,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No info,6842
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4160
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No info,6442
Indigo,2019-04-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6307
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,6540
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No info,16108
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,No info,26890
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No info,4545
Air India,2019-04-15,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,4160
Vistara,2019-03-18,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,12123
Indigo,2019-05-15,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,2754
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,8052
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No info,17024
Air Asia,2019-05-27,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Vistara,2019-06-21,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5613
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,05:05:00,1045,1.0,No info,22270
Air India,2019-04-01,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No info,7211
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,10877
Indigo,2019-05-09,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,4077
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,11087
Indigo,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No info,7006
Air India,2019-03-21,Delhi,Cochin,06:50:00,19:15:00,2185,2.0,No info,10756
Spicejet,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Spicejet,2019-05-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Jet Airways,2019-03-09,Delhi,Cochin,00:20:00,04:25:00,1685,1.0,No info,15029
Indigo,2019-05-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Air India,2019-05-12,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No info,13243
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,In-flight meal not included,10031
Indigo,2019-05-24,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,23:00:00,845,1.0,No info,16736
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No info,12692
Jet Airways,2019-05-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-04-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Spicejet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Indigo,2019-06-12,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No info,5883
Indigo,2019-06-12,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,4804
Jet Airways,2019-04-03,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1435,1.0,In-flight meal not included,10031
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,8586
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Multiple Carriers,2019-06-12,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No info,7354
Multiple Carriers,2019-06-01,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,13587
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,No info,19828
Jet Airways,2019-05-21,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No info,15129
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,Business class,62427
Indigo,2019-04-27,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4804
Spicejet,2019-04-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No info,6460
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No info,7005
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Spicejet,2019-03-24,Kolkata,Banglore,11:15:00,18:15:00,420,1.0,No info,12287
Indigo,2019-05-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4804
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,7740
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,In-flight meal not included,10844
Go Air,2019-04-01,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,4239
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,07:40:00,530,1.0,No info,26890
Indigo,2019-06-27,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6412
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8529
Spicejet,2019-05-24,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No info,7804
Spicejet,2019-06-03,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No info,3873
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No info,16289
Indigo,2019-04-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No info,4565
Jet Airways,2019-03-03,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No info,17234
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,No info,12284
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,08:15:00,945,1.0,In-flight meal not included,7064
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,12:15:00,1475,1.0,In-flight meal not included,7832
Air India,2019-05-21,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No info,8067
Jet Airways,2019-06-01,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,8016
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No info,3873
Vistara,2019-04-09,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,5586
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No info,13067
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,No info,14571
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,8098
Spicejet,2019-05-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3625
